ppid;time;accuracy
p43;1200;4,05876118319002
p43;2000;1,80904279967462
p44;100;-,240309161078346
p44;220;-,488465994398906
p44;370;1,02264316285881
p44;557;3,66152561015978
p44;800;3,29376944014254
p44;1200;2,66454569264524
p44;2000;4,05876118319002
p45;100;-,458349662846237
p45;220;,477730569241928
p45;370;2,05748387729672
p45;557;1,73174982261768
p45;800;2,35041569320234
p45;1200;3,00083762423692
p45;2000;3,66152561015978
p46;100;-,584697303993682
p46;220;,749366663259833
p46;370;1,25721356405443
p46;557;1,19037692908996
p46;800;2,2489731316463
p46;1200;2,22461536067355
p46;2000;2,71817186321957
p47;100;,253218782745648
p47;220;1,0282044624088
p47;370;3,66152561015978
p47;557;3,11540743624982
p47;800;3,66152561015978
p47;1200;3,00083762423692
p47;2000;2,88276268952519
p48;100;-,426719867581552
p48;220;-,841621233572914
p48;370;1,03531264587869
p48;557;1,82522569543059
p48;800;2,95305365799653
p48;1200;4,05876118319002
p48;2000;4,05876118319002
p49;100;,279420597763724
p49;220;-,462940989838472
p49;370;,674489750196082
p49;557;2,40690305934526
p49;800;3,70934200114148
p49;1200;3,23480574257823
p49;2000;3,54698822288819
p50;100;-1,54560613036686
p50;220;,0962430999264967
p50;370;,674489750196082
p50;557;2,7570751733363
p50;800;2,2489731316463
p50;1200;2,30259930222064
p50;2000;3,06759104526812
p51;100;0
p51;220;1,0579235589531
p51;370;1,38365761363214
p51;557;2,29145199563802
p51;800;4,05876118319002
p51;1200;3,11540743624982
p51;2000;2,76598825420128
p52;100;,279420597763724
p52;220;1,08847023833009
p52;370;,234570401195616
p52;557;2,24363560465632
p52;800;3,11540743624982
p52;1200;1,95604131574068
p52;2000;2,40690305934526
p53;100;-,715602743611738
p53;220;2,16201760283079
p53;370;1,55240093935648
p53;557;1,2815515655446
p53;800;1,31617726161875
p53;1200;2,66454569264524
p53;2000;2,5631031310892
p54;100;,524400512708041
p54;220;,524400512708041
p54;370;,981331532454776
p54;557;1,33918516783284
p54;800;2,71817186321957
p54;1200;3,70934200114148
p54;2000;2,93093322062408
p55;100; 
p55;220;-,0769115597865275
p55;370;1,19889026290412
p55;557;1,68393343163598
p55;800;2,30259930222064
p55;1200;3,16796910761376
p55;2000;3,66152561015978
p56;100;2,5740345427221
p56;220;,477730569241928
p56;370;2,76598825420128
p56;557;,764709673786387
p56;800;,749366663259833
p56;1200;1,22064034884735
p56;2000;2,50219191439195
p57;100;-,72844549874468
p57;220;,953341042100282
p57;370;3,11540743624982
p57;557;2,09988740990532
p57;800;2,17679896969185
p57;1200;2,67035547223787
p57;2000;3,54698822288819
p58;100;0
p58;220;,325734054679037
p58;370;0
p58;557;1,64191131629778
p58;800;1,81691573707477
p58;1200;2,30259930222064
p58;2000;1,22709723250176
p59;100;,778408780517401
p59;220;,756993171853777
p59;370;-,536694266806244
p59;557;1,27907509677932
p59;800;2,67510356955788
p59;1200;1,08160686042313
p59;2000;1,57200691268494
p60;100;,787409196308996
p60;220;2,8922966959737
p60;370;2,61672930166354
p60;557;2,40690305934526
p60;800;2,71817186321957
p60;1200;4,05876118319002
p60;2000;3,06759104526812
p61;100;-,887558154085436
p61;220;,904450436823479
p61;370;1,19543697308184
p61;557;2,69983487525088
p61;800;4,05876118319002
p61;1200;3,16796910761376
p61;2000;3,06759104526812
p62;100;-,379019115274435
p62;220;1,44936303044036
p62;370;1,90739463980868
p62;557;3,66152561015978
p62;800;4,05876118319002
